Fas	Fas	NN	B-NP	B-protein	Mention 3	
,	,	,	O	O	
a	a	DT	B-NP	O	
death	death	NN	I-NP	B-protein	
receptor	receptor	NN	I-NP	I-protein	
,	,	,	O	O	
is	be	VBZ	B-VP	O	
widely	widely	RB	I-VP	O	
expressed	express	VBN	I-VP	O	
in	in	IN	B-PP	O	
human	human	JJ	B-NP	O	
tissue	tissue	NN	I-NP	O	
,	,	,	O	O	
but	but	CC	O	O	
its	its	PRP$	B-NP	O	Mention 4	Mention 5	
expression	expression	NN	I-NP	O	
,	,	,	O	O	
although	although	IN	B-SBAR	O	
a	a	DT	B-NP	O	
prerequisite	prerequisite	NN	I-NP	O	
for	for	IN	B-PP	O	
the	the	DT	B-NP	O	
induction	induction	NN	I-NP	O	
of	of	IN	B-PP	O	
apoptosis	apoptosis	NN	B-NP	O	
,	,	,	O	O	
does	do	VBZ	B-VP	O	
not	not	RB	I-VP	O	
predict	predict	VB	I-VP	O	
its	its	PRP$	B-NP	O	Mention 6	Mention 7	
biological	biological	JJ	I-NP	O	
function	function	NN	I-NP	O	
.	.	.	O	O	
To	To	TO	B-VP	O	
understand	understand	VB	I-VP	O	
the	the	DT	B-NP	O	
mechanisms	mechanism	NNS	I-NP	O	
of	of	IN	B-PP	O	
Fas	Fas	NN	B-NP	B-protein	
resistance	resistance	NN	I-NP	O	
in	in	IN	B-PP	O	
human	human	JJ	B-NP	O	
tissues	tissue	NNS	I-NP	O	
in	in	FW	B-ADVP	O	
vivo	vivo	FW	I-ADVP	O	
,	,	,	O	O	
we	we	PRP	B-NP	O	
performed	perform	VBD	B-VP	O	
immunohistochemistry	immunohistochemistry	NN	B-NP	O	
using	use	VBG	B-VP	O	
an	an	DT	B-NP	O	
antibody	antibody	NN	I-NP	O	
against	against	IN	B-PP	O	
Fas-associated	Fas-associated	JJ	B-NP	B-protein	Mention 8	
phosphatase-1	phosphatase-1	NN	I-NP	I-protein	
(	(	(	O	O	
FAP-1	FAP-1	NN	B-NP	B-protein	Mention 9	
)	)	)	O	O	
,	,	,	O	O	
which	which	WDT	B-NP	O	Mention 10	
interacts	interact	VBZ	B-VP	O	
with	with	IN	B-PP	O	
the	the	DT	B-NP	O	
cytosolic	cytosolic	JJ	I-NP	B-protein	
domain	domain	NN	I-NP	I-protein	
of	of	IN	B-PP	O	
Fas	Fas	NN	B-NP	B-protein	
and	and	CC	O	O	
inhibits	inhibit	VBZ	B-VP	O	
Fas-mediated	Fas-mediated	JJ	B-NP	O	Mention 11	
apoptosis	apoptosis	NN	I-NP	O	
.	.	.	O	O	
In	In	IN	B-PP	O	
normal	normal	JJ	B-NP	O	
human	human	JJ	I-NP	O	
tissues	tissue	NNS	I-NP	O	
,	,	,	O	O	
FAP-1	FAP-1	NN	B-NP	B-protein	
immunostaining	immunostaining	NN	I-NP	O	
was	be	VBD	B-VP	O	
easily	easily	RB	I-VP	O	
detected	detect	VBN	I-VP	O	
,	,	,	O	O	
for	for	IN	B-PP	O	
example	example	NN	B-NP	O	
,	,	,	O	O	
in	in	IN	B-PP	O	
renal	renal	JJ	B-NP	O	
tubules	tubule	NNS	I-NP	O	
,	,	,	O	O	
